Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,42.14816887,,,,,Fraser-Segm3,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,63.79182316,,,,,Fraser-Segm4,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,139.5446132,,,,,Fraser-Segm5,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,44.42644827,,,,,Fraser-Segm6,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,34.74376083,,,,,Fraser-Segm7,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,18.79580504,,,,,Fraser-Segm8,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,26.76978293,,,,,Fraser-Segm9,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M1,,,,,,0,,,25.06107338,,,,,Fraser-Segm10,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,85.43547744,,,,,Fraser-Segm1,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,63.79182316,,,,,Fraser-Segm2,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,86.57461714,,,,,Fraser-Segm3,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,79.1702091,,,,,Fraser-Segm4,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,59.23526436,,,,,Fraser-Segm5,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,131.0010654,,,,,Fraser-Segm6,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,75.18322015,,,,,Fraser-Segm7,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,70.0570915,,,,,Fraser-Segm8,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,80.87891865,,,,,Fraser-Segm9,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M2,,,,,,0,,,69.48752165,,,,,Fraser-Segm10,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,138.4054735,,,,,Fraser-Segm1,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,125.8749368,,,,,Fraser-Segm2,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,139.5446132,,,,,Fraser-Segm3,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,167.4535358,,,,,Fraser-Segm4,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,172.5796644,,,,,Fraser-Segm5,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,175.4275137,,,,,Fraser-Segm6,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,156.6317086,,,,,Fraser-Segm7,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,108.7878413,,,,,Fraser-Segm8,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,138.9750433,,,,,Fraser-Segm9,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M3,,,,,,0,,,146.9490212,,,,,Fraser-Segm10,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,129.8619257,,,,,Fraser-Segm1,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,138.9750433,,,,,Fraser-Segm2,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,131.5706353,,,,,Fraser-Segm3,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,227.25837,,,,,Fraser-Segm4,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,210.1712745,,,,,Fraser-Segm5,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,179.4145026,,,,,Fraser-Segm6,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,231.2453589,,,,,Fraser-Segm7,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,153.2142896,,,,,Fraser-Segm8,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,191.9450393,,,,,Fraser-Segm9,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M4,,,,,,0,,,113.3444001,,,,,Fraser-Segm10,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,149.7968705,,,,,Fraser-Segm1,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,142.9620323,,,,,Fraser-Segm2,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,237.5106273,,,,,Fraser-Segm3,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,134.9880544,,,,,Fraser-Segm4,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,103.6617126,,,,,Fraser-Segm5,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,191.3754695,,,,,Fraser-Segm6,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,88.85289654,,,,,Fraser-Segm7,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,72.90494075,,,,,Fraser-Segm8,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,198.2103077,,,,,Fraser-Segm9,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,,,55.2,61.7,,,,FL,M,18,FW,Field,indiv,29_M5,,,,,,0,,,88.28332669,,,,,Fraser-Segm10,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.4,2,1.68,,,50.7,57.2,,,,FL,F,18,FW,Field,indiv,29_F1,,,,,,0,,,88.82811982,,,,,Fraser-Segm1,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.4,2,1.68,,,50.7,57.2,,,,FL,F,18,FW,Field,indiv,29_F1,,,,,,0,,,49.05425002,,,,,Fraser-Segm2,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.4,2,1.68,,,50.7,57.2,,,,FL,F,18,FW,Field,indiv,29_F1,,,,,,0,,,63.82740166,,,,,Fraser-Segm3,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.4,2,1.68,,,50.7,57.2,,,,FL,F,18,FW,Field,indiv,29_F1,,,,,,0,,,70.0775812,,,,,Fraser-Segm4,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
29,Oncorhynchus nerka,wild,1998,5,1.4,2,1.68,,,50.7,57.2,,,,FL,F,18,FW,Field,indiv,29_F1,,,,,,0,,,51.32704258,,,,,Fraser-Segm5,,,,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",1
