Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
3,Oncorhynchus nerka,wild,1973,1,,,1.784,,,,,56,,,TL,mixed,20,FW,Ucrit-1,indiv,3_ID7,,,2.3,,,1,,,126,,,,,,,,,n,n,,n,n,table,"Brett, J.R., Glass, N.R., 1973. Metabolic Rates and Critical Swimming Speeds of Sockeye Salmon ( Oncorhynchus nerka ) in Relation to Size and Temperature. Journal of the Fisheries Research Board of Canada 30, 379–387. https://doi.org/10.1139/f73-068",1
3,Oncorhynchus nerka,wild,1973,1,,,1.794,,,,,59.5,,,TL,mixed,20,FW,Ucrit-1,indiv,3_ID8,,,2,,,1,,,136,,,,,,,,,n,n,,n,n,table,"Brett, J.R., Glass, N.R., 1973. Metabolic Rates and Critical Swimming Speeds of Sockeye Salmon ( Oncorhynchus nerka ) in Relation to Size and Temperature. Journal of the Fisheries Research Board of Canada 30, 379–387. https://doi.org/10.1139/f73-068",1
3,Oncorhynchus nerka,wild,1973,1,,,1.962,,,,,61.4,,,TL,mixed,20,FW,Ucrit-1,indiv,3_ID9,,,2.1,,,1,,,128,,,,,,,,,n,n,,n,n,table,"Brett, J.R., Glass, N.R., 1973. Metabolic Rates and Critical Swimming Speeds of Sockeye Salmon ( Oncorhynchus nerka ) in Relation to Size and Temperature. Journal of the Fisheries Research Board of Canada 30, 379–387. https://doi.org/10.1139/f73-068",1
4,Oncorhynchus tshawytscha,wild,1987,5,0.9,2.2,1.31,0.253,se,,,45.5,5.1,se,TL,mixed,10.75,SW,Ucrit-1,group,4_14,,,1.9,0.253,sd,,,,,,,,,,,,,n,n,,n,n,table,"Farrell, A.P., Steffensen, J.F., 1987. Coronary ligation reduces maximum sustained swimming speed in Chinook salmon, Oncorhynchus tshawytscha. Comparative Biochemistry and Physiology Part A 87, 35–37.",5
4,Oncorhynchus tshawytscha,wild,1987,5,0.9,2.2,1.31,0.523,se,,,45.5,5.1,se,TL,mixed,10.75,SW,Ucrit-1,group,4_15,,,1.23,0.345,sd,,,,,,,,,,,,,n,n,Ligation,n,n,table,"Farrell, A.P., Steffensen, J.F., 1987. Coronary ligation reduces maximum sustained swimming speed in Chinook salmon, Oncorhynchus tshawytscha. Comparative Biochemistry and Physiology Part A 87, 35–37.",5
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,67.9,,,TL,mixed,10.5,SW,Field,indiv,5_ID-8503,,,1.01,,,0,,,68.5,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,71.1,,,TL,mixed,10.5,SW,Field,indiv,5_ID-8504,,,1.12,,,0,,,79.3,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,65.8,,,TL,mixed,10.5,SW,Field,indiv,5_ID-8505,,,0.84,,,0,,,55.6,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,65.8,,,TL,mixed,9.5,SW,Field,indiv,5_ID-8507,,,0.91,,,0,,,59.7,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,66.9,,,TL,mixed,9.5,SW,Field,indiv,5_ID-8508,,,1.1,,,0,,,73.8,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
