"Species_latin","Test_performance2","min_swim_speedBL","max_swim_speedBL","mean_swim_speedBL","count_swimBL","min_LengthCM","max_LengthCM","mean_LengthCM","min_Sizekg","max_Sizekg","mean_Sizekg","min_Temp","max_Temp","mean_Temp"
"Oncorhynchus gorbuscha","Field",0.45,3.27,1.50421195722222,18,49.05,79.6,62.1305555555556,2.38,4.45,3.43333333333333,9.45,14.65,11.7611111111111
"Oncorhynchus gorbuscha","Ucrit",1.252477341,3.39,2.23411276734426,61,46.1,55.5,52.6058333333333,1.361,1.823,1.71777586206897,8.992989136,22.00021279,14.1821872552667
"Oncorhynchus gorbuscha","Umax",1.275957658,3.903562727,2.75585627315909,132,51,51,51,1.6,1.6,1.6,7.188708859,28.16423514,17.55508423525
"Oncorhynchus keta","Field",0.513850575,3.32,1.547365714,17,53.6,68.7,61.796875,1.55,2.32,2.03333333333333,9.45,12.3,10.4863636363636
"Oncorhynchus keta","Fishway",0.87,2.182891705,1.766313773,20,62.05,65.25,63.65,Inf,-Inf,NA,Inf,-Inf,NA
"Oncorhynchus keta","Ucrit",1.249708372,2.556497948,1.54452420745,20,62.1,68.3,63.165,1.9,2.86,2.38,10.1,13.35,13.0921052631579
"Oncorhynchus kisutch","Ucrit",1.23,4.247723035,2.30082935322047,127,49.8,71.4,57.6763779527559,1.357,4.108,2.19105511811024,4.686683783,18.30006704,10.9296189181417
"Oncorhynchus kisutch","Umax",1.98,2.97,2.296984127,21,60.6,66,62.9142857142857,2.56,2.56,2.56,10,15,13.1428571428571
"Oncorhynchus masou","Field",2.2,6.6,4.4,2,Inf,-Inf,NA,Inf,-Inf,NA,12,12,12
"Oncorhynchus masou","Fishway",1.13,3.021383449,2.26283513015,20,51.45,55.95,53.7,Inf,-Inf,NA,Inf,-Inf,NA
"Oncorhynchus masou","Ucrit",1.89,1.89,1.89,1,53.3,53.3,53.3,1.7,1.7,1.7,12.75,12.75,12.75
"Oncorhynchus mykiss","Ucrit",1.08947286,3.534680859,1.93353913764925,134,30.1,46.5,36.5204918032787,0.4454,1.11,0.577737575757576,5,19,9.85746268656716
"Oncorhynchus nerka","Field",0.48,2.048225124,1.14050489431111,45,53.95,73.1,63.0577777777778,Inf,-Inf,NA,9.5,16,13.7666666666667
"Oncorhynchus nerka","Fishway",0.903634916,13.47622009,4.255098573,35,56.9,59,57.4888888888889,1.8,2.8,2.22222222222222,16.8,19.85,18.0971428571429
"Oncorhynchus nerka","TTF",1.35,3.01012989,1.96663733,7,53.2,53.2,53.2,1.739,1.739,1.739,15,18,16.7142857142857
"Oncorhynchus nerka","Ucrit",0.64,3.6,1.93871090188608,395,41.8,69.5,60.1227728613569,0.746,3.56,2.33149122807018,8.75,26,16.8778723561772
"Oncorhynchus tshawytscha","Field",0.96,1.58,1.22428571428571,7,76,76,76,6,6,6,13.5,13.5,13.5
"Oncorhynchus tshawytscha","Ucrit",1.23,1.9,1.565,2,45.5,45.5,45.5,1.31,1.31,1.31,10.75,10.75,10.75
"Salmo salar","Fishway",6.165,7.906,6.99566666666667,3,51.2,51.2,51.2,1.16,1.16,1.16,10.1,10.1,10.1
"Salmo salar","Swim",2.03,4.39,3.5637608696,15,40,59.58,54.5345454545455,0.84742,1.76,1.41444214285714,11.2,12.5,12.4133333333333
"Salmo salar","TTF",1.4287839,4.00643861,2.54196439734314,102,43.9,43.9,43.9,0.592,1.40907,0.892524019607843,12,13,12.3970588235294
"Salmo salar","Ucrit",1.72,4.100807642,2.934810580375,176,27.8,59.58,36.9465540540541,0.00135,1.796,0.678788557613636,9,18,12.5663068181818
