 ,Area,Mean,Min,Max,X,Y
1,0,13,13,13,552.000,617.000
2,0,21,21,21,550.000,453.333
3,0,29,29,29,550.000,290.667
4,0,158,158,158,744.667,377.667
5,0,134,134,134,745.333,666.333
6,0,198,198,198,774.667,603.667
7,0,245,245,245,764.667,520.333
8,0,253,253,253,765.667,642.667
9,0,190,190,190,1040.000,204.000
10,0,228,228,228,1045.000,606.000
11,0,173,173,173,1069.000,347.000
12,0,237,237,237,1070.000,517.000
13,0,199,199,199,1346.000,421.000
14,0,153,153,153,1341.000,650.333
15,0,252,252,252,1367.000,455.667
16,0,244,244,244,1363.667,610.333
17,0,226,226,226,1641.667,505.000
18,0,143,143,143,1643.333,612.333
19,0,251,251,251,1664.000,487.667
20,0,244,244,244,1672.000,574.500
