 ,Area,Mean,Min,Max,X,Y
1,0,32,32,32,505.667,473.667
2,0,33,33,33,501.667,337.667
3,0,33,33,33,501.000,201.667
4,0,255,255,255,666.000,517.667
5,0,33,33,33,584.333,469.000
6,0,207,207,207,659.000,408.000
7,0,255,255,255,691.000,533.667
8,0,33,33,33,710.000,478.333
9,0,255,255,255,684.333,403.000
10,0,255,255,255,923.000,468.000
11,0,33,33,33,884.667,377.333
12,0,51,51,51,914.000,115.333
13,0,200,200,200,944.000,448.000
14,0,33,33,33,955.333,386.000
15,0,255,255,255,939.333,342.667
16,0,255,255,255,1168.000,488.000
17,0,33,33,33,1114.000,412.667
18,0,207,207,207,1172.000,332.667
19,0,255,255,255,1186.667,474.667
20,0,33,33,33,1190.000,420.667
21,0,255,255,255,1190.667,338.667
22,0,255,255,255,1417.500,473.000
23,0,33,33,33,1330.500,422.000
24,0,33,33,33,1413.500,347.000
25,0,255,255,255,1441.000,480.500
26,0,33,33,33,1443.500,431.000
27,0,255,255,255,1439.500,366.000
