 ,Area,Mean,Min,Max,X,Y
1,0,91,91,91,180.667,486.667
2,0,19,19,19,180.667,400.000
3,0,19,19,19,181.000,312.667
4,0,19,19,19,180.000,225.000
5,0,19,19,19,222.000,230.667
6,0,39,39,39,221.333,218.000
7,0,19,19,19,383.667,217.333
8,0,19,19,19,383.333,194.667
9,0,19,19,19,426.667,206.333
10,0,150,150,150,426.000,171.667
11,0,19,19,19,469.333,233.333
12,0,19,19,19,469.333,211.333
13,0,19,19,19,546.333,211.333
14,0,150,150,150,545.333,179.667
15,0,204,204,204,589.000,226.000
16,0,19,19,19,587.667,190.333
17,0,19,19,19,631.000,213.000
18,0,19,19,19,630.000,187.000
19,0,91,91,91,708.000,211.333
20,0,19,19,19,707.333,190.333
21,0,19,19,19,750.667,249.667
22,0,204,204,204,749.333,192.667
23,0,19,19,19,793.000,213.333
24,0,19,19,19,792.667,187.000
25,0,91,91,91,869.667,256.000
26,0,19,19,19,869.333,189.667
27,0,121,121,121,912.667,268.667
28,0,19,19,19,912.000,192.000
29,0,19,19,19,955.333,227.333
30,0,204,204,204,955.000,178.667
31,0,19,19,19,1032.000,243.333
32,0,19,19,19,1030.333,180.667
33,0,121,121,121,1074.667,256.000
34,0,150,150,150,1073.333,181.333
35,0,19,19,19,1116.333,209.000
36,0,19,19,19,1116.333,185.000
