 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,105 2B.png,0.000E0,8.917E1,3.492E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.917E1,3.492E2,0.000E0,0.000E0,0.000,0.000,NaN
2,105 2B.png,0.000E0,8.917E1,2.762E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.917E1,2.762E2,0.000E0,0.000E0,0.000,0.000,NaN
3,105 2B.png,0.000E0,8.850E1,2.042E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.850E1,2.042E2,0.000E0,0.000E0,0.000,0.000,NaN
4,105 2B.png,0.000E0,8.917E1,1.332E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.917E1,1.332E2,0.000E0,0.000E0,0.000,0.000,NaN
5,105 2B.png,0.000E0,1.470E2,3.578E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.470E2,3.578E2,0.000E0,0.000E0,0.000,0.000,NaN
6,105 2B.png,0.000E0,2.622E2,3.582E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.622E2,3.582E2,0.000E0,0.000E0,0.000,0.000,NaN
7,105 2B.png,0.000E0,3.778E2,3.580E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.778E2,3.580E2,0.000E0,0.000E0,0.000,0.000,NaN
8,105 2B.png,0.000E0,4.928E2,3.580E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.928E2,3.580E2,0.000E0,0.000E0,0.000,0.000,NaN
9,105 2B.png,0.000E0,1.575E2,8.900E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.575E2,8.900E1,0.000E0,0.000E0,0.000,0.000,NaN
10,105 2B.png,0.000E0,1.802E2,1.072E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.802E2,1.072E2,0.000E0,0.000E0,0.000,0.000,NaN
11,105 2B.png,0.000E0,2.058E2,8.900E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.058E2,8.900E1,0.000E0,0.000E0,0.000,0.000,NaN
12,105 2B.png,0.000E0,2.270E2,8.867E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.270E2,8.867E1,0.000E0,0.000E0,0.000,0.000,NaN
13,105 2B.png,0.000E0,1.713E2,8.917E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.713E2,8.917E1,0.000E0,0.000E0,0.000,0.000,NaN
14,105 2B.png,0.000E0,1.687E2,8.917E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.687E2,8.917E1,0.000E0,0.000E0,0.000,0.000,NaN
15,105 2B.png,0.000E0,1.802E2,8.917E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.802E2,8.917E1,0.000E0,0.000E0,0.000,0.000,NaN
16,105 2B.png,0.000E0,1.885E2,8.900E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.885E2,8.900E1,0.000E0,0.000E0,0.000,0.000,NaN
17,105 2B.png,0.000E0,2.007E2,8.900E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.007E2,8.900E1,0.000E0,0.000E0,0.000,0.000,NaN
18,105 2B.png,0.000E0,2.230E2,8.917E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.230E2,8.917E1,0.000E0,0.000E0,0.000,0.000,NaN
19,105 2B.png,0.000E0,2.100E2,1.798E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.100E2,1.798E2,0.000E0,0.000E0,0.000,0.000,NaN
20,105 2B.png,0.000E0,2.085E2,2.230E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.085E2,2.230E2,0.000E0,0.000E0,0.000,0.000,NaN
21,105 2B.png,0.000E0,2.102E2,2.287E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.102E2,2.287E2,0.000E0,0.000E0,0.000,0.000,NaN
22,105 2B.png,0.000E0,1.862E2,2.398E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.862E2,2.398E2,0.000E0,0.000E0,0.000,0.000,NaN
23,105 2B.png,0.000E0,2.760E2,2.078E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.760E2,2.078E2,0.000E0,0.000E0,0.000,0.000,NaN
24,105 2B.png,0.000E0,3.198E2,2.213E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.198E2,2.213E2,0.000E0,0.000E0,0.000,0.000,NaN
25,105 2B.png,0.000E0,2.937E2,3.108E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.937E2,3.108E2,0.000E0,0.000E0,0.000,0.000,NaN
26,105 2B.png,0.000E0,2.462E2,3.420E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.462E2,3.420E2,0.000E0,0.000E0,0.000,0.000,NaN
27,105 2B.png,0.000E0,2.545E2,3.348E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.545E2,3.348E2,0.000E0,0.000E0,0.000,0.000,NaN
28,105 2B.png,0.000E0,2.598E2,3.360E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.598E2,3.360E2,0.000E0,0.000E0,0.000,0.000,NaN
29,105 2B.png,0.000E0,2.887E2,3.345E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.887E2,3.345E2,0.000E0,0.000E0,0.000,0.000,NaN
30,105 2B.png,0.000E0,3.405E2,2.982E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.405E2,2.982E2,0.000E0,0.000E0,0.000,0.000,NaN
31,105 2B.png,0.000E0,3.405E2,3.140E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.405E2,3.140E2,0.000E0,0.000E0,0.000,0.000,NaN
32,105 2B.png,0.000E0,2.371E2,2.782E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.371E2,2.782E2,0.000E0,0.000E0,0.000,0.000,NaN
33,105 2B.png,0.000E0,2.242E2,3.409E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.242E2,3.409E2,0.000E0,0.000E0,0.000,0.000,NaN
34,105 2B.png,0.000E0,2.308E2,3.419E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.308E2,3.419E2,0.000E0,0.000E0,0.000,0.000,NaN
35,105 2B.png,0.000E0,2.371E2,3.420E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.371E2,3.420E2,0.000E0,0.000E0,0.000,0.000,NaN
36,105 2B.png,0.000E0,2.476E2,3.459E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.476E2,3.459E2,0.000E0,0.000E0,0.000,0.000,NaN
37,105 2B.png,0.000E0,2.549E2,3.419E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.549E2,3.419E2,0.000E0,0.000E0,0.000,0.000,NaN
38,105 2B.png,0.000E0,3.019E2,3.409E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.019E2,3.409E2,0.000E0,0.000E0,0.000,0.000,NaN
39,105 2B.png,0.000E0,3.204E2,3.070E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.204E2,3.070E2,0.000E0,0.000E0,0.000,0.000,NaN
40,105 2B.png,0.000E0,2.579E2,3.439E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.579E2,3.439E2,0.000E0,0.000E0,0.000,0.000,NaN
41,105 2B.png,0.000E0,2.614E2,3.448E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.614E2,3.448E2,0.000E0,0.000E0,0.000,0.000,NaN
42,105 2B.png,0.000E0,2.713E2,3.432E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.713E2,3.432E2,0.000E0,0.000E0,0.000,0.000,NaN
43,105 2B.png,0.000E0,3.230E2,3.432E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.230E2,3.432E2,0.000E0,0.000E0,0.000,0.000,NaN
44,105 2B.png,0.000E0,3.363E2,3.447E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.363E2,3.447E2,0.000E0,0.000E0,0.000,0.000,NaN
45,105 2B.png,0.000E0,4.838E2,3.478E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.838E2,3.478E2,0.000E0,0.000E0,0.000,0.000,NaN
46,105 2B.png,0.000E0,2.758E2,3.457E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.758E2,3.457E2,0.000E0,0.000E0,0.000,0.000,NaN
47,105 2B.png,0.000E0,3.068E2,3.438E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.068E2,3.438E2,0.000E0,0.000E0,0.000,0.000,NaN
48,105 2B.png,0.000E0,3.054E2,3.475E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.054E2,3.475E2,0.000E0,0.000E0,0.000,0.000,NaN
49,105 2B.png,0.000E0,3.302E2,3.451E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.302E2,3.451E2,0.000E0,0.000E0,0.000,0.000,NaN
50,105 2B.png,0.000E0,3.418E2,3.458E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.418E2,3.458E2,0.000E0,0.000E0,0.000,0.000,NaN
51,105 2B.png,0.000E0,3.553E2,3.464E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.553E2,3.464E2,0.000E0,0.000E0,0.000,0.000,NaN
52,105 2B.png,0.000E0,3.606E2,3.482E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.606E2,3.482E2,0.000E0,0.000E0,0.000,0.000,NaN
53,105 2B.png,0.000E0,3.822E2,3.460E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.822E2,3.460E2,0.000E0,0.000E0,0.000,0.000,NaN
