 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,105 Fig1a.png,0.000E0,1.682E2,3.240E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.682E2,3.240E2,0.000E0,0.000E0,0.000,0.000,NaN
2,105 Fig1a.png,0.000E0,1.681E2,2.719E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.681E2,2.719E2,0.000E0,0.000E0,0.000,0.000,NaN
3,105 Fig1a.png,0.000E0,1.680E2,2.209E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.680E2,2.209E2,0.000E0,0.000E0,0.000,0.000,NaN
4,105 Fig1a.png,0.000E0,1.681E2,1.690E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.681E2,1.690E2,0.000E0,0.000E0,0.000,0.000,NaN
5,105 Fig1a.png,0.000E0,1.681E2,1.169E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.681E2,1.169E2,0.000E0,0.000E0,0.000,0.000,NaN
6,105 Fig1a.png,0.000E0,1.680E2,6.500E1,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.680E2,6.500E1,0.000E0,0.000E0,0.000,0.000,NaN
7,105 Fig1a.png,0.000E0,2.060E2,3.532E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.060E2,3.532E2,0.000E0,0.000E0,0.000,0.000,NaN
8,105 Fig1a.png,0.000E0,3.231E2,3.534E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.231E2,3.534E2,0.000E0,0.000E0,0.000,0.000,NaN
9,105 Fig1a.png,0.000E0,4.391E2,3.530E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.391E2,3.530E2,0.000E0,0.000E0,0.000,0.000,NaN
10,105 Fig1a.png,0.000E0,5.560E2,3.532E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,5.560E2,3.532E2,0.000E0,0.000E0,0.000,0.000,NaN
11,105 Fig1a.png,0.000E0,3.110E2,1.780E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.110E2,1.780E2,0.000E0,0.000E0,0.000,0.000,NaN
12,105 Fig1a.png,0.000E0,3.133E2,1.912E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.133E2,1.912E2,0.000E0,0.000E0,0.000,0.000,NaN
