 ,Area,Mean,Min,Max,X,Y
1,0,33,33,33,272.000,901.333
2,0,33,33,33,275.333,817.333
3,0,33,33,33,275.333,734.000
4,0,33,33,33,276.000,652.000
5,0,33,33,33,275.333,567.333
6,0,33,33,33,407.000,588.667
7,0,33,33,33,505.667,737.333
8,0,33,33,33,776.333,776.667
9,0,33,33,33,503.000,307.000
10,0,33,33,33,595.000,79.000
11,0,33,33,33,620.000,175.000
12,0,33,33,33,623.000,434.000
13,0,33,33,33,643.000,433.000
14,0,33,33,33,696.000,176.000
15,0,33,33,33,690.000,519.000
16,0,33,33,33,720.000,308.000
17,0,33,33,33,736.000,516.000
18,0,33,33,33,779.000,539.000
19,0,33,33,33,812.000,436.000
20,0,33,33,33,859.000,305.000
21,0,33,33,33,965.000,433.000
22,0,33,33,33,1078.000,465.000
23,0,33,33,33,1094.000,618.000
24,0,33,33,33,1225.000,535.000
25,0,33,33,33,1278.000,434.000
26,0,33,33,33,1322.000,651.000
27,0,33,33,33,499.000,901.000
28,0,255,255,255,724.000,903.000
29,0,245,245,245,951.000,903.000
