Track_ID,axis unit,Unit, ,Area,Mean,Min,Max,X,Y,,,
y-axis,2,FL/s,1,0,32,32,32,266,354,24,2,Clark et al 2011
y-axis,2.5,FL/s,2,0,33,33,33,266.5,264.5,24,2,Clark et al 2011
y-axis,3,FL/s,3,0,33,33,33,266,176,24,2,Clark et al 2011
y-axis,3.5,FL/s,4,0,33,33,33,265.5,88.5,24,2,Clark et al 2011
x-axis,10,FL/s,5,0,33,33,33,514.5,354.5,24,2,Clark et al 2011
x-axis,15,FL/s,6,0,33,33,33,764.5,354.5,24,2,Clark et al 2011
x-axis,20,FL/s,7,0,33,33,33,1014,354,24,2,Clark et al 2011
x-axis,25,FL/s,8,0,33,33,33,1263,354.5,24,2,Clark et al 2011
Umax,M,FL/s,9,0,33,33,33,465,253.5,24,2,Clark et al 2011
Umax,M,FL/s,10,0,33,33,33,439.5,166.5,24,2,Clark et al 2011
Umax,M,FL/s,11,0,33,33,33,434.5,162,24,2,Clark et al 2011
Umax,M,FL/s,12,0,255,255,255,470.5,88,24,2,Clark et al 2011
Umax,M,FL/s,13,0,255,255,255,463.5,78,24,2,Clark et al 2011
Umax,M,FL/s,14,0,33,33,33,449.5,43.5,24,2,Clark et al 2011
Umax,M,FL/s,15,0,33,33,33,531,162,24,2,Clark et al 2011
Umax,M,FL/s,16,0,255,255,255,637,167.5,24,2,Clark et al 2011
Umax,M,FL/s,17,0,33,33,33,640.5,105,24,2,Clark et al 2011
Umax,M,FL/s,18,0,33,33,33,675.5,118,24,2,Clark et al 2011
Umax,M,FL/s,19,0,33,33,33,675,93,24,2,Clark et al 2011
Umax,M,FL/s,20,0,33,33,33,660,189,24,2,Clark et al 2011
Umax,M,FL/s,21,0,33,33,33,690.5,195.5,24,2,Clark et al 2011
Umax,M,FL/s,22,0,33,33,33,794.5,145.5,24,2,Clark et al 2011
Umax,M,FL/s,23,0,33,33,33,785,36,24,2,Clark et al 2011
Umax,M,FL/s,24,0,33,33,33,815,143.5,24,2,Clark et al 2011
Umax,M,FL/s,25,0,33,33,33,855,125,24,2,Clark et al 2011
Umax,M,FL/s,26,0,33,33,33,875,102.5,24,2,Clark et al 2011
Umax,M,FL/s,27,0,33,33,33,889,116.5,24,2,Clark et al 2011
Umax,M,FL/s,28,0,33,33,33,903.5,117.5,24,2,Clark et al 2011
Umax,M,FL/s,29,0,33,33,33,993.5,78.5,24,2,Clark et al 2011
Umax,M,FL/s,30,0,33,33,33,1014.5,59,24,2,Clark et al 2011
Umax,M,FL/s,31,0,33,33,33,989,184,24,2,Clark et al 2011
Umax,M,FL/s,32,0,33,33,33,1103,131.5,24,2,Clark et al 2011
Umax,M,FL/s,33,0,33,33,33,1088,104.5,24,2,Clark et al 2011
Umax,M,FL/s,34,0,33,33,33,1082.5,91.5,24,2,Clark et al 2011
Umax,M,FL/s,35,0,33,33,33,1233.5,190,24,2,Clark et al 2011
Umax,M,FL/s,36,0,33,33,33,1208.5,146,24,2,Clark et al 2011
Umax,M,FL/s,37,0,33,33,33,1235,77,24,2,Clark et al 2011
Umax,M,FL/s,38,0,33,33,33,1228.5,69,24,2,Clark et al 2011
Umax,M,FL/s,39,0,33,33,33,1263.5,64.5,24,2,Clark et al 2011
Umax,M,FL/s,40,0,33,33,33,1258,133,24,2,Clark et al 2011
Umax,M,FL/s,41,0,33,33,33,1277.5,131,24,2,Clark et al 2011
Umax,M,FL/s,42,0,33,33,33,1333.5,175,24,2,Clark et al 2011
Umax,M,FL/s,43,0,33,33,33,1383,149,24,2,Clark et al 2011
Umax,M,FL/s,44,0,33,33,33,1408,156.5,24,2,Clark et al 2011
Umax,M,FL/s,45,0,33,33,33,1403,206.5,24,2,Clark et al 2011
