 ,Area,Mean,Min,Max,X,Y
1,0,33,33,33,271.500,1057.500
2,0,33,33,33,271.000,929.500
3,0,33,33,33,270.500,802.000
4,0,33,33,33,271.333,676.667
5,0,33,33,33,498.667,1058.333
6,0,33,33,33,722.667,1058.333
7,0,33,33,33,948.000,1057.667
8,0,33,33,33,271.333,997.000
9,0,33,33,33,293.333,975.000
10,0,33,33,33,316.000,913.000
11,0,33,33,33,339.333,947.667
12,0,33,33,33,362.000,747.000
13,0,33,33,33,384.667,913.000
14,0,33,33,33,407.333,998.333
15,0,33,33,33,428.000,997.667
16,0,33,33,33,452.000,874.333
17,0,33,33,33,472.667,747.667
18,0,33,33,33,498.000,947.667
19,0,33,33,33,518.000,747.667
20,0,33,33,33,542.000,915.000
21,0,33,33,33,563.333,876.333
22,0,33,33,33,586.667,875.667
23,0,33,33,33,608.667,874.333
24,0,33,33,33,632.000,873.667
25,0,33,33,33,653.000,915.667
26,0,33,33,33,677.667,875.000
27,0,33,33,33,698.333,748.333
28,0,33,33,33,720.333,819.667
29,0,33,33,33,743.000,873.667
30,0,33,33,33,765.667,874.333
31,0,33,33,33,787.000,649.667
32,0,33,33,33,833.000,747.000
33,0,33,33,33,813.000,1017.667
34,0,33,33,33,855.000,746.500
35,0,33,33,33,902.500,976.500
36,0,33,33,33,922.500,819.000
37,0,33,33,33,946.500,948.500
38,0,33,33,33,878.000,503.000
39,0,33,33,33,991.000,820.000
40,0,33,33,33,1013.000,750.000
41,0,33,33,33,1034.000,503.000
42,0,33,33,33,1059.000,650.000
43,0,33,33,33,1082.000,748.000
44,0,33,33,33,1104.000,649.000
45,0,33,33,33,1124.000,500.000
46,0,33,33,33,1148.000,650.000
47,0,33,33,33,1171.000,650.000
