 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,206 Gallaugher et al.png,0.00E+00,195.00,514.00,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,1.95E+02,5.14E+02,0.00E+00,0.00E+00,0,0,NaN
2,206 Gallaugher et al.png,0.00E+00,195.50,393.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,1.96E+02,3.94E+02,0.00E+00,0.00E+00,0,0,NaN
3,206 Gallaugher et al.png,0.00E+00,194.50,271.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,1.95E+02,2.72E+02,0.00E+00,0.00E+00,0,0,NaN
4,206 Gallaugher et al.png,0.00E+00,195.50,148.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,1.96E+02,1.49E+02,0.00E+00,0.00E+00,0,0,NaN
5,206 Gallaugher et al.png,0.00E+00,316.80,492.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.17E+02,4.92E+02,0.00E+00,0.00E+00,0,0,NaN
6,206 Gallaugher et al.png,0.00E+00,292.80,482.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,2.93E+02,4.82E+02,0.00E+00,0.00E+00,0,0,NaN
7,206 Gallaugher et al.png,0.00E+00,306.20,390.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.06E+02,3.91E+02,0.00E+00,0.00E+00,0,0,NaN
8,206 Gallaugher et al.png,0.00E+00,354.80,406.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.55E+02,4.06E+02,0.00E+00,0.00E+00,0,0,NaN
9,206 Gallaugher et al.png,0.00E+00,354.80,367.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.55E+02,3.68E+02,0.00E+00,0.00E+00,0,0,NaN
10,206 Gallaugher et al.png,0.00E+00,354.80,335.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.55E+02,3.36E+02,0.00E+00,0.00E+00,0,0,NaN
11,206 Gallaugher et al.png,0.00E+00,380.20,340.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.80E+02,3.41E+02,0.00E+00,0.00E+00,0,0,NaN
12,206 Gallaugher et al.png,0.00E+00,428.20,410.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,4.28E+02,4.11E+02,0.00E+00,0.00E+00,0,0,NaN
13,206 Gallaugher et al.png,0.00E+00,358.20,316.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.58E+02,3.17E+02,0.00E+00,0.00E+00,0,0,NaN
14,206 Gallaugher et al.png,0.00E+00,379.50,314.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.80E+02,3.15E+02,0.00E+00,0.00E+00,0,0,NaN
15,206 Gallaugher et al.png,0.00E+00,398.20,304.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.98E+02,3.04E+02,0.00E+00,0.00E+00,0,0,NaN
16,206 Gallaugher et al.png,0.00E+00,379.50,227.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,3.80E+02,2.28E+02,0.00E+00,0.00E+00,0,0,NaN
17,206 Gallaugher et al.png,0.00E+00,466.20,225.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,4.66E+02,2.26E+02,0.00E+00,0.00E+00,0,0,NaN
18,206 Gallaugher et al.png,0.00E+00,441.50,189.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,4.42E+02,1.89E+02,0.00E+00,0.00E+00,0,0,NaN
19,206 Gallaugher et al.png,0.00E+00,478.20,283.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,4.78E+02,2.83E+02,0.00E+00,0.00E+00,0,0,NaN
20,206 Gallaugher et al.png,0.00E+00,539.50,283.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,5.40E+02,2.83E+02,0.00E+00,0.00E+00,0,0,NaN
21,206 Gallaugher et al.png,0.00E+00,528.20,282.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,5.28E+02,2.83E+02,0.00E+00,0.00E+00,0,0,NaN
22,206 Gallaugher et al.png,0.00E+00,527.50,267.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,5.28E+02,2.67E+02,0.00E+00,0.00E+00,0,0,NaN
23,206 Gallaugher et al.png,0.00E+00,521.50,240.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,5.22E+02,2.41E+02,0.00E+00,0.00E+00,0,0,NaN
24,206 Gallaugher et al.png,0.00E+00,588.20,141.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,5.88E+02,1.41E+02,0.00E+00,0.00E+00,0,0,NaN
25,206 Gallaugher et al.png,0.00E+00,595.50,137.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,5.96E+02,1.38E+02,0.00E+00,0.00E+00,0,0,NaN
26,206 Gallaugher et al.png,0.00E+00,625.50,225.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,6.26E+02,2.26E+02,0.00E+00,0.00E+00,0,0,NaN
27,206 Gallaugher et al.png,0.00E+00,679.50,326.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,6.80E+02,3.27E+02,0.00E+00,0.00E+00,0,0,NaN
28,206 Gallaugher et al.png,0.00E+00,686.20,266.80,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,6.86E+02,2.67E+02,0.00E+00,0.00E+00,0,0,NaN
29,206 Gallaugher et al.png,0.00E+00,660.80,238.20,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,6.61E+02,2.38E+02,0.00E+00,0.00E+00,0,0,NaN
30,206 Gallaugher et al.png,0.00E+00,667.50,175.50,0.00E+00,1.13E+00,1.13E+00,0.00E+00,0,0.00E+00,6.68E+02,1.76E+02,0.00E+00,0.00E+00,0,0,NaN
