 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,569.000,1066.000
2,0,36,36,36,569.000,954.000
3,0,36,36,36,569.000,843.000
4,0,36,36,36,569.000,731.000
5,0,36,36,36,569.000,619.000
6,0,36,36,36,568.000,508.000
7,0,255,255,255,787.000,189.000
8,0,36,36,36,785.000,160.000
9,0,255,255,255,1000.333,208.000
10,0,37,37,37,1001.667,185.333
11,0,255,255,255,1217.667,182.667
12,0,36,36,36,1216.333,122.667
13,0,255,255,255,1431.000,254.667
14,0,36,36,36,1431.000,214.667
15,0,255,255,255,1647.000,277.333
16,0,37,37,37,1645.667,238.667
17,0,255,255,255,1863.000,296.000
18,0,36,36,36,1861.667,242.667
