,,, ,Area,Mean,Min,Max,X,Y,,,
y-axis,1,FL/s,1,0,42,42,42,232.5,552,24,4,Clark et al 2011
y-axis,2,FL/s,2,0,77,77,77,232.5,368.5,24,4,Clark et al 2011
y-axis,3,FL/s,3,0,91,91,91,233.5,185.5,24,4,Clark et al 2011
y-axis,4,FL/s,4,0,33,33,33,233,3,24,4,Clark et al 2011
Umax,M,FL/s,5,0,33,33,33,346,406,24,4,Clark et al 2011
Umax,M,FL/s,6,0,33,33,33,346,372,24,4,Clark et al 2011
Umax,M,FL/s,7,0,33,33,33,347,348,24,4,Clark et al 2011
Umax,M,FL/s,8,0,33,33,33,367,302,24,4,Clark et al 2011
Umax,M,FL/s,9,0,33,33,33,515.5,405.5,24,4,Clark et al 2011
Umax,M,FL/s,10,0,33,33,33,588,326.5,24,4,Clark et al 2011
Umax,M,FL/s,11,0,33,33,33,593.5,240.5,24,4,Clark et al 2011
Umax,M,FL/s,12,0,33,33,33,649,416.5,24,4,Clark et al 2011
Umax,M,FL/s,13,0,33,33,33,643.5,377,24,4,Clark et al 2011
Umax,M,FL/s,14,0,33,33,33,675,302,24,4,Clark et al 2011
Umax,M,FL/s,15,0,33,33,33,690,345.5,24,4,Clark et al 2011
Umax,M,FL/s,16,0,33,33,33,701.5,357,24,4,Clark et al 2011
Umax,M,FL/s,17,0,33,33,33,849.5,327.5,24,4,Clark et al 2011
Umax,M,FL/s,18,0,33,33,33,861,315.5,24,4,Clark et al 2011
Umax,M,FL/s,19,0,33,33,33,865.5,240,24,4,Clark et al 2011
Umax,M,FL/s,20,0,33,33,33,902,431,24,4,Clark et al 2011
Umax,M,FL/s,21,0,33,33,33,933,346.5,24,4,Clark et al 2011
Umax,M,FL/s,22,0,33,33,33,963.5,250.5,24,4,Clark et al 2011
Umax,M,FL/s,23,0,33,33,33,1055.5,391.5,24,4,Clark et al 2011
Umax,M,FL/s,24,0,33,33,33,1065,326,24,4,Clark et al 2011
Umax,M,FL/s,25,0,33,33,33,1081,316,24,4,Clark et al 2011
Umax,M,FL/s,26,0,33,33,33,1080,256.5,24,4,Clark et al 2011
Umax,M,FL/s,27,0,33,33,33,1216,438,24,4,Clark et al 2011
Umax,M,FL/s,28,0,33,33,33,1199,393.5,24,4,Clark et al 2011
Umax,M,FL/s,29,0,33,33,33,1209,241.5,24,4,Clark et al 2011
Umax,M,FL/s,30,0,33,33,33,1210.5,200,24,4,Clark et al 2011
Umax,M,FL/s,31,0,33,33,33,1302.5,291,24,4,Clark et al 2011
Umax,M,FL/s,32,0,33,33,33,1339,335.5,24,4,Clark et al 2011
Umax,M,FL/s,33,0,33,33,33,1297,501.5,24,4,Clark et al 2011
x-axis,34,degC,34,0,35,35,35,490.5,552,24,4,Clark et al 2011
x-axis,35,degC,35,0,40,40,40,748,552,24,4,Clark et al 2011
x-axis,36,degC,36,0,34,34,34,1005,552.5,24,4,Clark et al 2011
x-axis,37,degC,37,0,55,55,55,1261.5,553.5,24,4,Clark et al 2011
