,,, ,Area,Mean,Min,Max,X,Y,,,
y-axis,2,FL/s,1,0,33,33,33,265.5,353.5,24,2,Clark et al 2011
y-axis,2.5,FL/s,2,0,33,33,33,266,264.5,24,2,Clark et al 2011
y-axis,3,FL/s,3,0,33,33,33,265.5,176,24,2,Clark et al 2011
y-axis,3.5,FL/s,4,0,33,33,33,265,88.5,24,2,Clark et al 2011
y-axis,4,FL/s,5,0,33,33,33,266,1.5,24,2,Clark et al 2011
x-axis,10,FL/s,6,0,33,33,33,514.5,354,24,2,Clark et al 2011
x-axis,15,FL/s,7,0,33,33,33,764.5,355.5,24,2,Clark et al 2011
x-axis,20,FL/s,8,0,33,33,33,1014,355,24,2,Clark et al 2011
x-axis,25,FL/s,9,0,33,33,33,1263.5,355.5,24,2,Clark et al 2011
Umax,,FL/s,10,0,255,255,255,464,225,24,2,Clark et al 2011
Umax,,FL/s,11,0,255,255,255,469,195.333,24,2,Clark et al 2011
Umax,,FL/s,12,0,255,255,255,454,131.667,24,2,Clark et al 2011
Umax,,FL/s,13,0,255,255,255,468.667,83,24,2,Clark et al 2011
Umax,,FL/s,14,0,255,255,255,469.333,52.333,24,2,Clark et al 2011
Umax,,FL/s,15,0,255,255,255,569,248,24,2,Clark et al 2011
Umax,,FL/s,16,0,255,255,255,614,225,24,2,Clark et al 2011
Umax,,FL/s,17,0,255,255,255,629.5,165,24,2,Clark et al 2011
Umax,,FL/s,18,0,255,255,255,653.5,143.5,24,2,Clark et al 2011
Umax,,FL/s,19,0,255,255,255,674.5,208,24,2,Clark et al 2011
Umax,,FL/s,20,0,255,255,255,679,109,24,2,Clark et al 2011
Umax,,FL/s,21,0,255,255,255,678.5,69.5,24,2,Clark et al 2011
Umax,,FL/s,22,0,255,255,255,753.5,247.5,24,2,Clark et al 2011
Umax,,FL/s,23,0,255,255,255,819,193.5,24,2,Clark et al 2011
Umax,,FL/s,24,0,255,255,255,809.5,180,24,2,Clark et al 2011
Umax,,FL/s,25,0,255,255,255,819.5,115,24,2,Clark et al 2011
Umax,,FL/s,26,0,255,255,255,839,95.5,24,2,Clark et al 2011
Umax,,FL/s,27,0,255,255,255,864,208,24,2,Clark et al 2011
Umax,,FL/s,28,0,255,255,255,918.5,18.5,24,2,Clark et al 2011
Umax,,FL/s,29,0,255,255,255,1003,190.5,24,2,Clark et al 2011
Umax,,FL/s,30,0,33,33,33,1015,158,24,2,Clark et al 2011
Umax,,FL/s,31,0,255,255,255,1021,157.5,24,2,Clark et al 2011
Umax,,FL/s,32,0,255,255,255,999,149,24,2,Clark et al 2011
Umax,,FL/s,33,0,67,67,67,1019,136.5,24,2,Clark et al 2011
Umax,,FL/s,34,0,255,255,255,1019.5,115.5,24,2,Clark et al 2011
Umax,,FL/s,35,0,154,154,154,1093,173.5,24,2,Clark et al 2011
Umax,,FL/s,36,0,255,255,255,1088.5,18.5,24,2,Clark et al 2011
Umax,,FL/s,37,0,255,255,255,1203,224.5,24,2,Clark et al 2011
Umax,,FL/s,38,0,255,255,255,1224.5,146,24,2,Clark et al 2011
Umax,,FL/s,39,0,255,255,255,1243.5,62,24,2,Clark et al 2011
Umax,,FL/s,40,0,255,255,255,1288,144.5,24,2,Clark et al 2011
Umax,,FL/s,41,0,255,255,255,1268.5,104.5,24,2,Clark et al 2011
Umax,,FL/s,42,0,255,255,255,1304,136,24,2,Clark et al 2011
Umax,,FL/s,43,0,255,255,255,1332,235.5,24,2,Clark et al 2011
Umax,,FL/s,44,0,255,255,255,1392.5,315,24,2,Clark et al 2011
Umax,,FL/s,45,0,255,255,255,1421.5,328,24,2,Clark et al 2011
Umax,,FL/s,46,0,255,255,255,1418.5,237.5,24,2,Clark et al 2011
Umax,,FL/s,47,0,255,255,255,1392.5,55.5,24,2,Clark et al 2011
