 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,218.5,261.75
2,0,0,0,0,218.5,229.5
3,0,0,0,0,218.5,197.5
4,0,0,0,0,217.25,166.5
5,0,0,0,0,217.75,134.25
6,0,0,0,0,263.25,261.875
7,0,0,0,0,309.833,262
8,0,0,0,0,356.167,261.833
9,0,0,0,0,309.667,123.333
10,0,128,128,128,203,511
11,0,0,0,0,203,471.25
12,0,0,0,0,202.25,433.75
13,0,0,0,0,226.5,510.75
14,0,0,0,0,250.25,510.75
15,0,0,0,0,274,511.25
16,0,0,0,0,461,367.5
17,0,0,0,0,214.333,765.5
18,0,0,0,0,214.333,738.5
19,0,0,0,0,214.167,710.333
20,0,0,0,0,232.333,765.333
21,0,0,0,0,249,765.833
22,0,0,0,0,267.667,765.667
23,0,0,0,0,426.333,626.333
24,0,0,0,0,337,633.25
25,0,0,0,0,600.5,640.5
26,0,0,0,0,203.333,1006.667
27,0,128,128,128,203.333,968
28,0,0,0,0,202.333,928
29,0,64,64,64,211.5,1006.667
30,0,0,0,0,221.333,1006.667
31,0,0,0,0,230.667,1006.5
32,0,0,0,0,255.333,879.333
33,0,255,255,255,353.667,911.667
34,0,128,128,128,407.333,904.667
35,0,0,0,0,212.667,1504
36,0,128,128,128,212.667,1452.333
37,0,128,128,128,210.667,1397.333
38,0,0,0,0,253,1380.167
39,0,255,255,255,313,1396.667
40,0,128,128,128,385.333,1389.667
41,0,0,0,0,369.333,1400
42,0,0,0,0,212.333,1243.333
43,0,0,0,0,211,1217.667
44,0,0,0,0,210.667,1189.333
45,0,0,0,0,592,1104
46,0,0,0,0,583,1112
47,0,192,192,192,517.667,1119.333
48,0,128,128,128,723,261
49,0,0,0,0,721.333,233.333
50,0,0,0,0,721.667,206
51,0,0,0,0,801.333,184.667
52,0,0,0,0,876.667,186.667
53,0,0,0,0,908,186
54,0,0,0,0,1093.5,162
55,0,255,255,255,1098.5,122.5
56,0,0,0,0,712.667,497.667
57,0,0,0,0,710.333,463.667
58,0,0,0,0,711.667,428.667
59,0,0,0,0,764,400
60,0,0,0,0,1057,388.333
61,0,128,128,128,716.333,1003.667
62,0,0,0,0,715.333,950.333
63,0,192,192,192,715,899
64,0,0,0,0,1080.333,878.667
65,0,255,255,255,1091.333,877.667
66,0,0,0,0,1096.333,868
67,0,0,0,0,1104,862.667
68,0,128,128,128,719.667,1246
69,0,128,128,128,719.667,1218
70,0,128,128,128,719.333,1191.333
71,0,255,255,255,765.333,1093.333
72,0,0,0,0,885.5,1101.5
73,0,128,128,128,913,1100.5
74,0,0,0,0,941,1098
75,0,128,128,128,1050.5,1100
76,0,0,0,0,719,759.333
77,0,0,0,0,718.333,733
78,0,0,0,0,717.667,708
79,0,0,0,0,717.333,683.333
80,0,0,0,0,890.333,623
81,0,0,0,0,933,623.667
82,0,0,0,0,965.667,624.333
83,0,255,255,255,1008.333,621
84,0,128,128,128,721.667,1510
85,0,128,128,128,720.667,1483.667
86,0,128,128,128,720.333,1455
87,0,128,128,128,721.667,1430.333
88,0,0,0,0,926,1372
89,0,0,0,0,984.5,1373
90,0,128,128,128,999.5,1370.5
91,0,128,128,128,1094,1372.333
