 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,230.000,665.500
2,0,4,4,4,229.500,590.000
3,0,0,0,0,230.000,513.000
4,0,0,0,0,230.500,436.500
5,0,0,0,0,230.500,361.000
6,0,0,0,0,408.500,665.000
7,0,0,0,0,587.000,665.000
8,0,73,73,73,769.500,665.500
9,0,0,0,0,338.667,212.000
10,0,0,0,0,482.000,327.333
11,0,255,255,255,624.500,558.000
12,0,0,0,0,697.000,638.000
13,0,235,235,235,772.000,664.000
14,0,247,247,247,842.000,665.000
15,0,0,0,0,625.667,214.000
16,0,0,0,0,698.333,426.000
17,0,0,0,0,734.000,620.500
18,0,0,0,0,769.500,644.000
19,0,0,0,0,842.500,654.000
20,0,0,0,0,879.000,662.000
21,0,0,0,0,915.500,663.000
