 ,Area,Mean,Min,Max,X,Y
1,0,25,25,25,158.000,886.000
2,0,25,25,25,155.500,742.833
3,0,25,25,25,156.167,599.500
4,0,25,25,25,156.167,456.500
5,0,25,25,25,156.833,313.167
6,0,25,25,25,156.833,170.833
7,0,25,25,25,413.500,886.833
8,0,25,25,25,668.750,886.250
9,0,25,25,25,923.833,886.167
10,0,25,25,25,1179.500,886.167
11,0,90,90,90,423.500,476.167
12,0,90,90,90,397.500,341.500
13,0,90,90,90,449.500,421.500
14,0,90,90,90,468.833,450.833
15,0,90,90,90,504.833,438.833
16,0,90,90,90,540.833,392.833
17,0,90,90,90,535.500,394.833
18,0,25,25,25,541.500,400.167
19,0,33,33,33,550.833,398.167
20,0,90,90,90,566.167,396.167
21,0,90,90,90,560.833,404.167
22,0,90,90,90,567.500,415.500
23,0,90,90,90,566.167,430.167
24,0,90,90,90,550.833,438.167
25,0,90,90,90,556.167,461.500
26,0,90,90,90,530.167,458.833
27,0,90,90,90,535.500,472.833
28,0,90,90,90,592.167,347.500
29,0,90,90,90,658.833,335.500
30,0,90,90,90,633.500,409.500
31,0,90,90,90,613.500,478.833
32,0,90,90,90,673.500,375.500
33,0,90,90,90,689.000,370.000
34,0,90,90,90,678.500,405.000
35,0,90,90,90,668.500,450.500
