Track_ID,axis unit,Unit, ,Area,Mean,Min,Max,X,Y,,,
y-axis,0,BL/s,1,0,1,1,1,520.667,986.333,21,2,Hinch et al 2002
y-axis,1,BL/s,2,0,3,3,3,522,773,21,2,Hinch et al 2002
y-axis,2,BL/s,3,0,2,2,2,522.667,560.333,21,2,Hinch et al 2002
y-axis,3,BL/s,4,0,7,7,7,523.333,349.667,21,2,Hinch et al 2002
MeanSwimSpeed,PF2,BL/s,5,0,46,46,46,616.333,574,21,2,Hinch et al 2002
MeanSwimSpeed,PF2-sem,BL/s,6,0,31,31,31,616.333,552,21,2,Hinch et al 2002
MeanSwimSpeed,PM2,BL/s,7,0,2,2,2,692.333,514.667,21,2,Hinch et al 2002
MeanSwimSpeed,PM2-sem,BL/s,8,0,23,23,23,691,451.333,21,2,Hinch et al 2002
MeanSwimSpeed,SF2,BL/s,9,0,29,29,29,765,684,21,2,Hinch et al 2002
MeanSwimSpeed,SF2-sem,BL/s,10,0,10,10,10,766.333,639.333,21,2,Hinch et al 2002
MeanSwimSpeed,SM2,BL/s,11,0,16,16,16,839.667,678,21,2,Hinch et al 2002
MeanSwimSpeed,SM2--sem,BL/s,12,0,27,27,27,841.667,594.667,21,2,Hinch et al 2002
MeanSwimSpeed,PF4,BL/s,13,0,19,19,19,1029,472.333,21,2,Hinch et al 2002
MeanSwimSpeed,PF4-sem,BL/s,14,0,24,24,24,1029,432.333,21,2,Hinch et al 2002
MeanSwimSpeed,PM4,BL/s,15,0,7,7,7,1104.333,481,21,2,Hinch et al 2002
MeanSwimSpeed,PM4-sem,BL/s,16,0,24,24,24,1105.667,412.333,21,2,Hinch et al 2002
MeanSwimSpeed,SF4,BL/s,17,0,9,9,9,1180.333,622.333,21,2,Hinch et al 2002
MeanSwimSpeed,SF4-sem,BL/s,18,0,30,30,30,1180.333,595.667,21,2,Hinch et al 2002
MeanSwimSpeed,SM4,BL/s,19,0,8,8,8,1255.667,551.667,21,2,Hinch et al 2002
MeanSwimSpeed,SM4--sem,BL/s,20,0,17,17,17,1256.333,411,21,2,Hinch et al 2002
MeanSwimSpeed,PF7,BL/s,21,0,25,25,25,1444,521,21,2,Hinch et al 2002
MeanSwimSpeed,PF7-sem,BL/s,22,0,18,18,18,1444,491.5,21,2,Hinch et al 2002
MeanSwimSpeed,PM7,BL/s,23,0,2,2,2,1519,545.5,21,2,Hinch et al 2002
MeanSwimSpeed,PM7-sem,BL/s,24,0,24,24,24,1519,482,21,2,Hinch et al 2002
MeanSwimSpeed,SF7,BL/s,25,0,8,8,8,1594.5,642,21,2,Hinch et al 2002
MeanSwimSpeed,SF7-sem,BL/s,26,0,46,46,46,1594.5,594,21,2,Hinch et al 2002
MeanSwimSpeed,SM7,BL/s,27,0,4,4,4,1670,591.5,21,2,Hinch et al 2002
MeanSwimSpeed,SM7--sem,BL/s,28,0,35,35,35,1670,449.5,21,2,Hinch et al 2002
MeanSwimSpeed,PF9,BL/s,29,0,30,30,30,1856.667,585.333,21,2,Hinch et al 2002
MeanSwimSpeed,PF9-SEM,BL/s,30,0,49,49,49,1856.667,575.333,21,2,Hinch et al 2002
MeanSwimSpeed,PM9,BL/s,31,0,33,33,33,1932.667,482.667,21,2,Hinch et al 2002
MeanSwimSpeed,SF9,BL/s,32,0,85,85,85,2008.667,761.333,21,2,Hinch et al 2002
MeanSwimSpeed,SM9,BL/s,33,0,7,7,7,2082,685.333,21,2,Hinch et al 2002
MeanSwimSpeed,SM9-sem,BL/s,34,0,8,8,8,2082.667,598.667,21,2,Hinch et al 2002
