Track_ID,axis unit,Unit, ,Area,Mean,Min,Max,X,Y,Ref ,plot,
Ucrit-max(open),,FL/s,27,0,255,255,255,808,338,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,28,0,255,255,255,809,237,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,29,0,255,255,255,832,297,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,30,0,255,255,255,857,282,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,31,0,255,255,255,919,366,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,32,0,255,255,255,904,211,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,33,0,255,255,255,904,163,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,34,0,255,255,255,952,400,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,35,0,255,255,255,952,205,9,3A,MacNutt et al 2005 
Ucrit-max(open),,FL/s,36,0,255,255,255,1000,124,9,3A,MacNutt et al 2005 
y-axis,1,FL/s,37,0,32,32,32,234.667,565.333,9,3A,MacNutt et al 2005 
y-axis,1.5,FL/s,38,0,32,32,32,234.667,455.333,9,3A,MacNutt et al 2005 
y-axis,2,FL/s,39,0,32,32,32,234.667,346.667,9,3A,MacNutt et al 2005 
y-axis,2.5,FL/s,40,0,32,32,32,234,236.5,9,3A,MacNutt et al 2005 
y-axis,3,FL/s,41,0,32,32,32,234,127,9,3A,MacNutt et al 2005 
Ucrit-max(open),,cm/s,42,0,255,255,255,377,1066,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,43,0,255,255,255,468,1071,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,44,0,255,255,255,470,1049,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,45,0,255,255,255,469,1007,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,46,0,255,255,255,492,747,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,47,0,255,255,255,492,1039,9,3B,MacNutt et al 2005 
