Track_ID,axis unit,Unit, ,Area,Mean,Min,Max,X,Y,Ref ,plot,
Ucrit-max(black),,FL/s,1,0,32,32,32,499.667,383.333,9,3,MacNutt et al 2005 
Ucrit-max(black),,FL/s,2,0,32,32,32,523.667,398.667,,,
Ucrit-max(black),,FL/s,3,0,32,32,32,523.667,335.333,,,
Ucrit-max(black),,FL/s,4,0,32,32,32,533,214.667,,,
Ucrit-max(black),,FL/s,5,0,32,32,32,537.667,272.667,,,
Ucrit-max(black),,FL/s,6,0,32,32,32,547.667,272.667,,,
Ucrit-max(black),,FL/s,7,0,32,32,32,562.333,264,,,
Ucrit-max(black),,FL/s,8,0,32,32,32,580.333,254,,,
Ucrit-max(black),,FL/s,9,0,32,32,32,599.667,272,,,
Ucrit-max(black),,FL/s,10,0,32,32,32,618.333,406,,,
Ucrit-max(black),,FL/s,11,0,32,32,32,633.667,253.333,,,
Ucrit-max(black),,FL/s,12,0,32,32,32,714.333,198.667,,,
Ucrit-max(black),,FL/s,13,0,32,32,32,715.667,192,,,
Ucrit-max(black),,FL/s,14,0,32,32,32,808.5,268,,,
Ucrit-max(black),,FL/s,15,0,32,32,32,903.5,390,,,
Ucrit-max(black),,FL/s,16,0,32,32,32,903.5,236,,,
Ucrit-max(black),,cm/s,17,0,32,32,32,491,971,,,
Ucrit-max(black),,cm/s,18,0,32,32,32,514.5,1018.5,,,
Ucrit-max(black),,cm/s,19,0,32,32,32,514.5,964.5,,,
Ucrit-max(black),,cm/s,20,0,32,32,32,523,877.5,,,
Ucrit-max(black),,cm/s,21,0,32,32,32,529,915,,,
Ucrit-max(black),,cm/s,22,0,32,32,32,537.5,869.5,,,
Ucrit-max(black),,cm/s,23,0,32,32,32,551,888,,,
Ucrit-max(black),,cm/s,24,0,32,32,32,569.5,862.5,,,
Ucrit-max(black),,cm/s,25,0,32,32,32,588,922,,,
Ucrit-max(black),,cm/s,26,0,32,32,32,620.5,810,,,
Ucrit-max(black),,cm/s,27,0,32,32,32,605.5,1006.5,,,
Ucrit-max(black),,cm/s,28,0,32,32,32,697,829.5,,,
Ucrit-max(black),,cm/s,29,0,32,32,32,698.5,815.5,,,
Ucrit-max(black),,cm/s,30,0,32,32,32,789,881,,,
Ucrit-max(black),,cm/s,31,0,32,32,32,880.5,964.5,,,
Ucrit-max(black),,cm/s,32,0,32,32,32,880.5,837,,,
y-axis,1,FL/s,33,0,32,32,32,234,565.5,,,
y-axis,1.5,FL/s,34,0,32,32,32,233.5,455,,,
y-axis,2,FL/s,35,0,32,32,32,234.5,346.5,,,
y-axis,2.5,FL/s,36,0,32,32,32,233.5,236,,,
y-axis,3,FL/s,37,0,32,32,32,234,127,,,
y-axis,60,cm/s,38,0,97,97,97,236,1190,,,
y-axis,80,cm/s,39,0,98,98,98,236,1112,,,
y-axis,100,cm/s,40,0,98,98,98,236,1034,,,
y-axis,120,cm/s,41,0,98,98,98,236,956,,,
x-axis,10,degC,42,0,32,32,32,423,1344.25,,,
x-axis,12,degC,43,0,32,32,32,515,1344.5,,,
x-axis,16,degC,44,0,32,32,32,697.667,1344.333,,,
x-axis,18,degC,45,0,32,32,32,790,1344.333,,,
x-axis,20,degC,46,0,32,32,32,881.667,1344,,,
x-axis,12,degC,47,0,32,32,32,523,655,,,
x-axis,14,degC,48,0,32,32,32,618.5,654.5,,,
x-axis,16,degC,49,0,98,98,98,713,653,,,
x-axis,18,degC,50,0,32,32,32,808.5,654,,,
x-axis,20,degC,51,0,32,32,32,903,654,,,
