 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,201_booth_ch4.png,0.000E0,2.105E2,1.263E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.105E2,1.263E3,0.000E0,0.000E0,0.000,0.000,NaN
2,201_booth_ch4.png,0.000E0,3.820E2,1.265E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.820E2,1.265E3,0.000E0,0.000E0,0.000,0.000,NaN
3,201_booth_ch4.png,0.000E0,5.520E2,1.266E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,5.520E2,1.266E3,0.000E0,0.000E0,0.000,0.000,NaN
4,201_booth_ch4.png,0.000E0,7.205E2,1.266E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.205E2,1.266E3,0.000E0,0.000E0,0.000,0.000,NaN
5,201_booth_ch4.png,0.000E0,8.930E2,1.268E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.930E2,1.268E3,0.000E0,0.000E0,0.000,0.000,NaN
6,201_booth_ch4.png,0.000E0,1.820E2,1.216E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.820E2,1.216E3,0.000E0,0.000E0,0.000,0.000,NaN
7,201_booth_ch4.png,0.000E0,1.825E2,1.168E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.825E2,1.168E3,0.000E0,0.000E0,0.000,0.000,NaN
8,201_booth_ch4.png,0.000E0,1.825E2,1.122E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.825E2,1.122E3,0.000E0,0.000E0,0.000,0.000,NaN
9,201_booth_ch4.png,0.000E0,1.840E2,1.075E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.840E2,1.075E3,0.000E0,0.000E0,0.000,0.000,NaN
10,201_booth_ch4.png,0.000E0,1.830E2,1.027E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,1.830E2,1.027E3,0.000E0,0.000E0,0.000,0.000,NaN
11,201_booth_ch4.png,0.000E0,2.130E2,9.875E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.130E2,9.875E2,0.000E0,0.000E0,0.000,0.000,NaN
12,201_booth_ch4.png,0.000E0,3.495E2,9.550E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.495E2,9.550E2,0.000E0,0.000E0,0.000,0.000,NaN
13,201_booth_ch4.png,0.000E0,4.860E2,9.525E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.860E2,9.525E2,0.000E0,0.000E0,0.000,0.000,NaN
14,201_booth_ch4.png,0.000E0,7.560E2,1.006E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.560E2,1.006E3,0.000E0,0.000E0,0.000,0.000,NaN
15,201_booth_ch4.png,0.000E0,8.935E2,1.112E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.935E2,1.112E3,0.000E0,0.000E0,0.000,0.000,NaN
16,201_booth_ch4.png,0.000E0,2.125E2,9.695E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.125E2,9.695E2,0.000E0,0.000E0,0.000,0.000,NaN
17,201_booth_ch4.png,0.000E0,3.500E2,9.480E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.500E2,9.480E2,0.000E0,0.000E0,0.000,0.000,NaN
18,201_booth_ch4.png,0.000E0,4.858E2,9.595E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,4.858E2,9.595E2,0.000E0,0.000E0,0.000,0.000,NaN
19,201_booth_ch4.png,0.000E0,7.568E2,9.968E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.568E2,9.968E2,0.000E0,0.000E0,0.000,0.000,NaN
20,201_booth_ch4.png,0.000E0,8.938E2,1.130E3,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.938E2,1.130E3,0.000E0,0.000E0,0.000,0.000,NaN
