 ,Area,Mean,Min,Max,X,Y
1,0,207,207,207,477.000,398.667
2,0,150,150,150,477.000,303.333
3,0,155,155,155,477.000,209.333
4,0,123,123,123,531.667,134.000
5,0,114,114,114,585.667,161.333
6,0,248,248,248,639.000,130.000
7,0,127,127,127,692.333,188.000
8,0,236,236,236,745.667,108.000
9,0,92,92,92,801.000,158.667
10,0,255,255,255,475.667,824.667
11,0,119,119,119,475.667,728.667
12,0,127,127,127,475.667,634.000
13,0,173,173,173,530.000,508.000
14,0,178,178,178,583.000,508.500
15,0,142,142,142,636.000,503.500
16,0,148,148,148,690.500,533.000
17,0,254,254,254,745.000,600.500
18,0,251,251,251,798.500,533.000
19,0,77,77,77,913.333,566.000
20,0,202,202,202,967.333,566.000
21,0,184,184,184,1020.667,566.000
22,0,150,150,150,1073.333,574.000
23,0,161,161,161,1128.000,566.667
24,0,154,154,154,1180.667,584.000
25,0,249,249,249,479.000,1251.333
26,0,167,167,167,479.000,1156.667
27,0,156,156,156,479.000,1061.333
28,0,147,147,147,532.500,954.500
29,0,148,148,148,586.500,934.500
30,0,254,254,254,640.500,983.500
31,0,133,133,133,694.500,1021.500
32,0,184,184,184,748.000,1020.500
33,0,115,115,115,801.500,1024.000
34,0,135,135,135,914.000,1036.500
35,0,110,110,110,968.000,1141.000
36,0,172,172,172,1022.500,1036.500
37,0,157,157,157,1076.500,1064.000
38,0,197,197,197,1131.000,1056.000
39,0,152,152,152,1183.500,1059.000
