 ,Area,Mean,Min,Max,X,Y
1,0,33,33,33,268.500,587.000
2,0,33,33,33,268.000,502.500
3,0,33,33,33,268.500,422.500
4,0,33,33,33,268.000,340.000
5,0,33,33,33,355.000,587.000
6,0,33,33,33,438.500,588.000
7,0,33,33,33,522.500,587.500
8,0,33,33,33,605.500,587.500
9,0,33,33,33,446.000,483.333
10,0,33,33,33,454.333,480.333
11,0,33,33,33,462.667,420.333
12,0,33,33,33,470.667,367.333
13,0,33,33,33,478.333,307.000
14,0,33,33,33,487.333,433.667
15,0,33,33,33,496.333,405.333
16,0,33,33,33,505.000,390.667
17,0,33,33,33,512.333,418.000
18,0,33,33,33,521.000,379.333
19,0,33,33,33,528.333,450.000
20,0,33,33,33,536.000,420.000
21,0,33,33,33,545.333,430.667
22,0,33,33,33,554.333,432.667
23,0,33,33,33,562.667,414.000
24,0,33,33,33,573.333,381.333
25,0,33,33,33,581.667,381.667
26,0,33,33,33,588.000,402.667
27,0,33,33,33,596.667,467.333
28,0,33,33,33,602.667,364.333
29,0,33,33,33,612.000,440.000
30,0,33,33,33,621.000,417.333
31,0,33,33,33,629.250,444.750
32,0,33,33,33,635.500,342.250
33,0,33,33,33,645.667,398.000
34,0,33,33,33,653.333,359.333
35,0,33,33,33,659.667,402.333
36,0,33,33,33,670.667,443.000
37,0,33,33,33,678.333,428.000
38,0,33,33,33,685.667,380.000
39,0,33,33,33,694.667,425.333
40,0,33,33,33,701.667,312.000
41,0,33,33,33,711.333,356.667
42,0,33,33,33,719.000,343.667
43,0,33,33,33,728.000,342.000
44,0,33,33,33,735.333,364.000
45,0,33,33,33,745.333,389.667
46,0,33,33,33,753.667,423.000
47,0,33,33,33,761.333,339.000
48,0,33,33,33,769.000,387.000
49,0,33,33,33,778.000,336.000
50,0,33,33,33,269.000,1268.000
51,0,33,33,33,270.000,1168.000
52,0,33,33,33,267.500,1068.500
53,0,33,33,33,266.500,969.500
54,0,33,33,33,311.333,1268.333
55,0,33,33,33,353.667,1269.333
56,0,33,33,33,395.667,1268.333
57,0,33,33,33,438.000,1268.667
58,0,33,33,33,277.000,1071.750
59,0,33,33,33,285.500,1155.250
60,0,33,33,33,293.000,1083.000
61,0,33,33,33,302.250,1086.250
62,0,33,33,33,312.750,1083.000
63,0,33,33,33,319.750,1115.500
64,0,33,33,33,326.500,1027.500
65,0,33,33,33,335.500,1038.750
66,0,33,33,33,344.250,1151.500
67,0,33,33,33,353.250,1184.250
68,0,33,33,33,362.000,1121.500
69,0,33,33,33,369.000,1122.000
70,0,33,33,33,378.250,1155.250
71,0,33,33,33,384.500,1135.500
72,0,33,33,33,394.250,1149.500
73,0,33,33,33,403.500,1142.500
74,0,33,33,33,411.250,1212.000
75,0,33,33,33,419.750,1179.250
76,0,33,33,33,427.750,1170.000
77,0,32,32,32,435.500,1192.500
78,0,33,33,33,445.000,1247.750
79,0,33,33,33,453.500,1225.250
80,0,33,33,33,460.750,1197.500
81,0,33,33,33,468.250,1148.250
82,0,33,33,33,486.500,1180.500
83,0,33,33,33,495.000,1159.250
84,0,33,33,33,502.750,1128.500
85,0,33,33,33,477.000,1048.500
86,0,33,33,33,511.500,1156.750
87,0,33,33,33,518.250,1148.500
88,0,33,33,33,528.250,1204.500
89,0,33,33,33,535.500,1170.500
90,0,33,33,33,545.750,1217.250
91,0,33,33,33,553.250,1173.750
92,0,33,33,33,560.750,1170.750
93,0,33,33,33,570.000,1116.250
94,0,33,33,33,577.500,1100.000
95,0,33,33,33,586.750,1207.000
96,0,33,33,33,596.250,1221.250
97,0,33,33,33,603.000,1131.250
98,0,33,33,33,611.500,1143.250
99,0,33,33,33,618.250,1123.750
100,0,33,33,33,627.500,1174.750
101,0,33,33,33,635.250,1136.500
102,0,33,33,33,644.250,1130.000
103,0,33,33,33,651.250,1106.000
104,0,33,33,33,659.500,1135.000
105,0,33,33,33,669.000,1155.500
106,0,33,33,33,678.000,1130.000
107,0,33,33,33,685.500,1111.000
108,0,33,33,33,694.250,1175.250
109,0,33,33,33,702.250,1088.250
110,0,33,33,33,710.250,1113.000
111,0,33,33,33,717.500,1058.500
112,0,33,33,33,727.250,1118.000
113,0,33,33,33,734.000,1059.000
114,0,33,33,33,742.000,1125.250
115,0,33,33,33,751.750,1157.750
116,0,33,33,33,759.250,1064.500
117,0,33,33,33,767.500,1086.000
118,0,33,33,33,777.000,1081.750
