Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,N_swim,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) ,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,"Sample size (for swim; if n=1, may report ID)",Assigned population
27,Oncorhynchus nerka,wild,2013,17,NA,NA,NA,NA,NA,57.7,68.9,NA,NA,NA,FL,M,14,FW,Ucrit-1,group,27_499,6,NA,NA,1.71,0.1,se,NA,NA,NA,137,7,NA,NA,NA,NA,NA,NA,NA,y,n,Accelerometer,n,n,text,"Wilson, S.M., Hinch, S.G., Eliason, E.J., Farrell, A.P., Cooke, S.J., 2013. Calibrating acoustic acceleration transmitters for estimating energy use by wild adult Pacific salmon. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 164, 491–498. https://doi.org/10.1016/j.cbpa.2012.12.002",6,Harrison River
27,Oncorhynchus nerka,wild,2013,17,NA,NA,NA,NA,NA,57.7,68.9,NA,NA,NA,FL,F,14,FW,Ucrit-1,group,27_500,3,NA,NA,1.81,0.15,se,NA,NA,NA,124,10,NA,NA,NA,NA,NA,NA,NA,y,n,Accelerometer,n,n,text,"Wilson, S.M., Hinch, S.G., Eliason, E.J., Farrell, A.P., Cooke, S.J., 2013. Calibrating acoustic acceleration transmitters for estimating energy use by wild adult Pacific salmon. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 164, 491–498. https://doi.org/10.1016/j.cbpa.2012.12.002",3,Harrison River
27,Oncorhynchus nerka,wild,2013,17,NA,NA,NA,NA,NA,57.7,68.9,NA,NA,NA,FL,mixed,14,FW,Ucrit-1,group,27_501,7,NA,NA,1.66,0.09,se,NA,NA,NA,122,9,NA,NA,NA,NA,NA,NA,NA,y,n,NA,n,n,text,"Wilson, S.M., Hinch, S.G., Eliason, E.J., Farrell, A.P., Cooke, S.J., 2013. Calibrating acoustic acceleration transmitters for estimating energy use by wild adult Pacific salmon. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 164, 491–498. https://doi.org/10.1016/j.cbpa.2012.12.002",7,Harrison River
28,Oncorhynchus kisutch,lab-raised,2017,200,na,na,2.33,0.13,se,NA,NA,53,0.9,se,FL,mixed,11.3,SW,Ucrit-1,group,28_502,7,NA,NA,2.25,0.06,se,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,n,NA,Metabolism,n,table,"Leggatt, R.A., Biagi, C.A., Sakhrani, D., Dominelli, R., Eliason, E.J., Farrell, A.P., Devlin, R.H., 2017. Fitness component assessments of wild-type and growth hormone transgenic coho salmon reared in seawater mesocosms. Aquaculture 473, 31–42. https://doi.org/10.1016/j.aquaculture.2017.01.022",7,NA
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,Fraser-Segm1,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,Fraser-Segm2,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,Fraser-Segm3,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,Fraser-Segm4,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,Fraser-Segm5,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,Fraser-Segm6,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,Fraser-Segm7,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,Fraser-Segm8,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,Fraser-Segm9,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,1,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,FL,M,NA,FW,Field,indiv,29_ID1,1,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,Fraser-Segm10,NA,NA,NA,n,n,EMGtag,n,y,map,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",ID1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,39.30031962,NA,NA,NA,NA,Fraser-Segm1,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,31.89591158,NA,NA,NA,NA,Fraser-Segm2,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,42.14816887,NA,NA,NA,NA,Fraser-Segm3,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,63.79182316,NA,NA,NA,NA,Fraser-Segm4,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,139.5446132,NA,NA,NA,NA,Fraser-Segm5,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,44.42644827,NA,NA,NA,NA,Fraser-Segm6,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,34.74376083,NA,NA,NA,NA,Fraser-Segm7,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,18.79580504,NA,NA,NA,NA,Fraser-Segm8,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,26.76978293,NA,NA,NA,NA,Fraser-Segm9,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M1,1,NA,NA,NA,NA,NA,NA,NA,NA,25.06107338,NA,NA,NA,NA,Fraser-Segm10,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M1,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,85.43547744,NA,NA,NA,NA,Fraser-Segm1,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,63.79182316,NA,NA,NA,NA,Fraser-Segm2,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,86.57461714,NA,NA,NA,NA,Fraser-Segm3,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,79.1702091,NA,NA,NA,NA,Fraser-Segm4,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,59.23526436,NA,NA,NA,NA,Fraser-Segm5,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,131.0010654,NA,NA,NA,NA,Fraser-Segm6,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,75.18322015,NA,NA,NA,NA,Fraser-Segm7,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,70.0570915,NA,NA,NA,NA,Fraser-Segm8,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,80.87891865,NA,NA,NA,NA,Fraser-Segm9,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M2,1,NA,NA,NA,NA,NA,NA,NA,NA,69.48752165,NA,NA,NA,NA,Fraser-Segm10,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M2,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,138.4054735,NA,NA,NA,NA,Fraser-Segm1,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,125.8749368,NA,NA,NA,NA,Fraser-Segm2,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,139.5446132,NA,NA,NA,NA,Fraser-Segm3,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,167.4535358,NA,NA,NA,NA,Fraser-Segm4,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,172.5796644,NA,NA,NA,NA,Fraser-Segm5,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,175.4275137,NA,NA,NA,NA,Fraser-Segm6,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,156.6317086,NA,NA,NA,NA,Fraser-Segm7,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,108.7878413,NA,NA,NA,NA,Fraser-Segm8,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,138.9750433,NA,NA,NA,NA,Fraser-Segm9,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M3,1,NA,NA,NA,NA,NA,NA,NA,NA,146.9490212,NA,NA,NA,NA,Fraser-Segm10,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M3,Early Stuart
29,Oncorhynchus nerka,wild,1998,5,1.9,2.8,2.22,NA,NA,55.2,61.7,NA,NA,NA,FL,M,18,FW,Field,indiv,29_M4,1,NA,NA,NA,NA,NA,NA,NA,NA,129.8619257,NA,NA,NA,NA,Fraser-Segm1,NA,NA,NA,n,n,EMGtag,n,y,plot,"Hinch, S.G., Rand, P.S., 1998. Swim speeds and energy use of upriver-migrating sockeye salmon (Oncorhynchus nerka): role of local environment and fish characteristics. Canadian Journal of Fisheries and Aquatic Sciences 55, 1821–1831. https://doi.org/10.1139/cjfas-55-8-1821",M4,Early Stuart
