Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,N_swim,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) ,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,"Sample size (for swim; if n=1, may report ID)",Assigned population
3,Oncorhynchus nerka,wild,1973,1,NA,NA,1.784,NA,NA,NA,NA,56,NA,NA,TL,mixed,20,FW,Ucrit-1,indiv,3_ID7,1,NA,NA,2.3,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,n,n,NA,n,n,table,"Brett, J.R., Glass, N.R., 1973. Metabolic Rates and Critical Swimming Speeds of Sockeye Salmon ( Oncorhynchus nerka ) in Relation to Size and Temperature. Journal of the Fisheries Research Board of Canada 30, 379–387. https://doi.org/10.1139/f73-068",ID7,Somass River Aggregate
3,Oncorhynchus nerka,wild,1973,1,NA,NA,1.794,NA,NA,NA,NA,59.5,NA,NA,TL,mixed,20,FW,Ucrit-1,indiv,3_ID8,1,NA,NA,2,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,n,n,NA,n,n,table,"Brett, J.R., Glass, N.R., 1973. Metabolic Rates and Critical Swimming Speeds of Sockeye Salmon ( Oncorhynchus nerka ) in Relation to Size and Temperature. Journal of the Fisheries Research Board of Canada 30, 379–387. https://doi.org/10.1139/f73-068",ID8,Somass River Aggregate
3,Oncorhynchus nerka,wild,1973,1,NA,NA,1.962,NA,NA,NA,NA,61.4,NA,NA,TL,mixed,20,FW,Ucrit-1,indiv,3_ID9,1,NA,NA,2.1,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,n,n,NA,n,n,table,"Brett, J.R., Glass, N.R., 1973. Metabolic Rates and Critical Swimming Speeds of Sockeye Salmon ( Oncorhynchus nerka ) in Relation to Size and Temperature. Journal of the Fisheries Research Board of Canada 30, 379–387. https://doi.org/10.1139/f73-068",ID9,Somass River Aggregate
4,Oncorhynchus tshawytscha,farm,1987,5,0.9,2.2,1.31,0.253,se,NA,NA,45.5,5.1,se,TL,mixed,10.75,SW,Ucrit-1,group,4_14,5,NA,NA,1.9,0.253,sd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,n,NA,n,n,table,"Farrell, A.P., Steffensen, J.F., 1987. Coronary ligation reduces maximum sustained swimming speed in Chinook salmon, Oncorhynchus tshawytscha. Comparative Biochemistry and Physiology Part A 87, 35–37.",5,NA
4,Oncorhynchus tshawytscha,farm,1987,5,0.9,2.2,1.31,0.523,se,NA,NA,45.5,5.1,se,TL,mixed,10.75,SW,Ucrit-1,group,4_15,5,NA,NA,1.23,0.345,sd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,n,Ligation,n,n,table,"Farrell, A.P., Steffensen, J.F., 1987. Coronary ligation reduces maximum sustained swimming speed in Chinook salmon, Oncorhynchus tshawytscha. Comparative Biochemistry and Physiology Part A 87, 35–37.",5,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,67.9,NA,NA,TL,mixed,10.5,SW,Field,indiv,5_ID-8503,1,NA,NA,1.01,NA,NA,NA,NA,NA,68.5,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8503,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,71.1,NA,NA,TL,mixed,10.5,SW,Field,indiv,5_ID-8504,1,NA,NA,1.12,NA,NA,NA,NA,NA,79.3,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8504,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,65.8,NA,NA,TL,mixed,10.5,SW,Field,indiv,5_ID-8505,1,NA,NA,0.84,NA,NA,NA,NA,NA,55.6,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8505,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,65.8,NA,NA,TL,mixed,9.5,SW,Field,indiv,5_ID-8507,1,NA,NA,0.91,NA,NA,NA,NA,NA,59.7,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8507,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,66.9,NA,NA,TL,mixed,9.5,SW,Field,indiv,5_ID-8508,1,NA,NA,1.1,NA,NA,NA,NA,NA,73.8,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8508,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,73.1,NA,NA,TL,mixed,9.5,SW,Field,indiv,5_ID-8509,1,NA,NA,1.24,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8509,NA
